GC_N_B01	GC_N_B02	GC_N_B03	GC_N_B05	GC_N_B06	GC_N_B07	GC_N_B09_4	GC_N_B10	GC_N_B102_1	GC_N_B107	GC_N_B108	GC_N_B11	GC_N_B116	GC_N_B12	GC_N_B125	GC_N_B135	GC_N_B136	GC_N_B138	GC_N_B14	GC_N_B20	GC_N_B21	GC_N_B23	GC_N_B30	GC_N_B32_4	GC_N_B35	GC_N_B36	GC_N_B37_1	GC_N_B38	GC_N_B40	GC_N_B42	GC_N_B46	GC_N_B48_3	GC_N_B50	GC_N_B54	GC_N_B57	GC_N_B59	GC_N_B60	GC_N_B61	GC_N_B63	GC_N_B64	GC_N_B66_1	GC_N_B68_1	GC_N_B82_1	GC_N_B83_1	GC_N_B84	GC_N_B86_4	GC_N_B87	GC_P_B04_1	GC_P_B08	GC_P_B101	GC_P_B103_1	GC_P_B109	GC_P_B111	GC_P_B112	GC_P_B114	GC_P_B123	GC_P_B126	GC_P_B13	GC_P_B130	GC_P_B15	GC_P_B16	GC_P_B18	GC_P_B19	GC_P_B22	GC_P_B24	GC_P_B26	GC_P_B27	GC_P_B28	GC_P_B29_4	GC_P_B34	GC_P_B41	GC_P_B43	GC_P_B44	GC_P_B45_1	GC_P_B47	GC_P_B51	GC_P_B55_1	GC_P_B58	GC_P_B62_1	GC_P_B69_1	GC_P_B71_1	GC_P_B72	GC_P_B73	group
0.006486137	0.000419776	0.002992811	0.018991552	0.000527599	1.35E-05	9.96E-06	3.97E-05	0.621117314	0.000515741	0.001083507	2.58E-05	6.09E-05	0.000110097	0.006594059	0.000652861	0.020743282	0.073053751	7.56E-06	6.19E-07	2.42E-06	9.03E-05	2.13E-05	3.53E-05	3.03E-05	1.61E-05	0.000450783	0.033727775	0.000865131	0.000378333	6.64E-06	1.59E-06	2.52E-05	0.000323737	3.56E-06	3.05E-05	2.02E-06	0.002035068	4.81E-06	2.17E-05	1.29E-06	3.04E-05	3.30E-08	3.13E-05	1.50E-05	0.000148114	8.29E-05	0.002580867	9.59E-05	0.068110651	0.019680486	0.000138422	8.27E-05	0.088278042	8.81E-06	0.000120984	0.000245682	7.00E-06	0.014546648	0.005043243	1.85E-06	6.30E-06	9.69E-07	1.10E-05	4.61E-07	3.23E-05	0.000135145	6.46E-06	2.51E-05	4.55E-06	0.000114378	7.49E-06	6.46E-05	1.92E-06	1.07E-06	8.98E-06	0.007944596	0.000178924	5.39E-06	0.000627885	1.44E-06	5.12E-05	4.43E-07	NGC
0.001429927	0.000157181	0.000606518	0.006313519	6.68E-05	5.64E-06	2.06E-06	2.27E-05	0.15300932	0.000142849	0.000103195	4.82E-06	1.08E-05	6.33E-05	0.004710435	0.000632832	0.009737345	0.03209264	3.04E-06	3.81E-06	5.09E-07	0.00012646	3.79E-05	2.20E-05	4.12E-06	6.73E-06	0.000636094	0.518237899	0.00045511	5.86E-05	0.000121023	4.72E-07	1.02E-05	0.000252756	2.16E-06	9.65E-06	2.80E-06	0.000226863	1.54E-06	3.79E-07	5.60E-07	2.60E-06	1.74E-08	0.000222886	2.11E-06	9.00E-05	1.56E-05	0.000434489	6.95E-05	0.019501651	0.006310173	2.39E-05	1.40E-05	0.229804956	1.04E-05	2.18E-05	6.87E-05	2.09E-06	0.006892102	0.002155444	6.97E-07	5.12E-06	3.82E-05	3.95E-06	3.21E-07	1.75E-05	3.29E-05	2.53E-06	2.48E-05	2.13E-06	1.36E-05	3.70E-06	4.35E-05	0.000112571	4.16E-05	9.89E-06	0.004458871	5.22E-05	1.34E-06	0.00014762	4.66E-07	1.13E-05	1.39E-07	NGC
0.002576466	8.00E-05	0.000621002	0.007773372	0.000125353	1.97E-06	3.47E-06	2.42E-06	0.25197783	0.000227187	0.000235042	1.25E-05	3.10E-06	4.01E-05	0.003714206	0.000469274	0.006955804	0.014876752	2.69E-07	7.26E-07	1.71E-06	0.000187117	7.29E-08	2.38E-06	5.78E-07	3.89E-06	0.000669406	0.49485523	0.000232352	7.17E-05	1.92E-06	3.54E-07	5.03E-06	8.91E-05	1.16E-06	2.66E-06	1.47E-06	0.000540885	4.91E-07	3.02E-06	2.02E-10	3.88E-06	1.74E-08	6.20E-05	4.17E-06	9.09E-05	1.97E-05	0.000176492	0.000208178	0.026383275	0.008283454	0.000164327	9.72E-05	0.167871201	6.37E-06	3.03E-05	0.000198951	3.03E-07	0.003696563	0.002278646	1.15E-06	5.76E-06	1.79E-08	7.79E-06	2.57E-07	6.65E-06	2.24E-05	3.52E-06	1.73E-06	7.51E-07	2.84E-08	1.22E-05	4.87E-05	1.16E-08	1.11E-08	1.50E-05	0.003653677	3.00E-05	3.84E-06	0.00023502	2.31E-07	8.01E-06	1.19E-07	NGC
0.001670405	0.000117485	0.000892879	0.007262068	8.10E-05	7.66E-07	1.87E-05	2.14E-06	0.309385352	0.000197391	0.000224154	2.43E-05	5.89E-06	0.00010315	0.005815766	0.000543464	0.006664147	0.025027755	1.90E-06	8.43E-07	2.64E-05	0.00014952	9.02E-05	2.03E-06	2.41E-06	7.57E-06	0.000546343	0.53561718	0.000646087	2.64E-05	5.69E-06	6.70E-09	7.50E-06	0.000253217	1.57E-06	9.53E-06	2.42E-06	0.000127799	9.00E-07	6.32E-07	3.50E-07	7.22E-06	2.28E-08	0.001005798	3.55E-05	6.04E-05	2.45E-05	0.000469706	0.014188515	0.0343327	0.011759671	5.80E-05	3.98E-05	0.031470755	1.39E-05	4.80E-05	0.00011106	1.21E-06	0.003376422	0.002493254	8.13E-07	4.77E-06	6.13E-06	5.97E-06	4.19E-07	2.17E-05	6.09E-05	2.96E-06	1.12E-05	1.92E-06	6.72E-06	8.31E-06	6.58E-05	2.94E-05	5.80E-06	7.09E-07	0.004341533	0.000101897	3.31E-06	0.000240073	2.41E-07	1.93E-05	1.84E-07	NGC
0.001847138	0.000152104	0.000738992	0.008042705	9.64E-05	3.28E-06	3.01E-06	1.48E-06	0.165728503	0.000148188	0.000332273	1.37E-05	1.83E-05	5.38E-05	0.004401678	0.000268162	0.008591467	0.020752786	1.46E-06	5.81E-06	7.19E-07	5.28E-05	1.90E-05	1.40E-06	3.56E-06	4.99E-06	0.000424171	0.634317368	0.000392736	1.83E-05	2.22E-06	3.15E-07	9.80E-06	9.52E-05	1.76E-06	6.43E-06	5.77E-07	0.000375021	5.34E-07	8.36E-07	2.51E-07	1.07E-05	7.56E-09	0.000148093	7.77E-06	3.40E-05	2.35E-05	0.000589128	0.000183239	0.020262157	0.008129365	0.000105735	0.000144136	0.114232195	1.60E-05	4.66E-05	0.000153309	9.64E-07	0.002250418	0.00162842	2.80E-07	4.33E-06	6.95E-05	6.16E-06	2.90E-07	1.05E-05	3.90E-05	3.32E-06	9.53E-05	9.54E-07	2.14E-06	7.62E-06	5.80E-05	0.000219602	7.63E-05	3.54E-06	0.004221263	5.61E-05	1.61E-06	0.000210146	9.12E-07	1.78E-05	2.28E-07	NGC
0.001396399	7.03E-05	0.000602049	0.005681149	3.75E-05	7.99E-06	1.41E-06	3.71E-07	0.229697037	0.000270902	0.000176998	8.86E-07	1.02E-05	4.86E-05	0.004730199	0.000938483	0.011596106	0.025586876	4.70E-07	5.54E-07	1.95E-06	0.000210085	3.46E-07	9.64E-09	8.77E-06	4.10E-06	0.000632294	0.639874939	0.000479752	1.44E-05	1.24E-06	3.46E-07	3.88E-06	0.000102406	1.38E-06	6.34E-06	1.48E-07	0.000278614	1.45E-06	4.06E-07	2.68E-10	2.71E-06	1.92E-08	0.000852404	5.05E-06	0.000126981	3.20E-05	0.000838296	0.000320587	0.019130004	0.007797299	9.54E-05	3.56E-05	0.037382229	3.37E-05	8.91E-07	0.000138305	1.69E-07	0.003939741	0.002740748	1.55E-06	2.85E-06	1.66E-11	1.18E-05	3.08E-07	6.76E-06	1.51E-05	5.29E-06	1.01E-06	1.02E-06	3.77E-08	5.89E-06	7.34E-05	1.78E-08	4.83E-11	3.85E-06	0.003452021	2.00E-05	4.54E-06	0.000436084	4.76E-07	8.27E-06	6.17E-08	NGC
0.002383227	0.000124458	0.001027901	0.00756331	0.000429506	4.11E-06	5.73E-05	4.38E-06	0.218039024	0.000224253	0.000280311	0.000106815	3.18E-06	7.24E-05	0.004847033	0.000113733	0.002055222	0.010477199	3.85E-06	3.81E-06	1.29E-06	0.000180598	1.76E-05	3.95E-06	3.96E-07	7.76E-06	0.000756622	0.556446068	0.000239316	3.16E-05	1.46E-05	5.34E-06	6.88E-06	0.000104194	2.06E-06	6.20E-06	9.81E-06	0.000144554	7.46E-07	8.15E-07	1.98E-10	1.70E-06	9.43E-09	8.54E-05	0.000160104	3.17E-05	1.70E-05	3.51E-05	0.000215965	0.031351485	0.008564239	6.83E-05	4.57E-05	0.145573	1.85E-05	6.14E-05	0.000139479	3.28E-06	0.003175194	0.001889181	3.55E-07	6.25E-06	2.83E-05	6.42E-06	2.03E-07	1.02E-05	2.66E-05	2.99E-06	1.54E-05	7.77E-07	1.44E-05	5.13E-06	5.90E-05	6.32E-05	3.23E-05	1.40E-06	0.002287684	4.21E-05	1.00E-06	0.000151918	3.58E-07	5.66E-06	1.36E-07	NGC
0.005904811	0.000195169	0.001376448	0.016250067	0.000316743	2.10E-08	1.34E-06	2.01E-06	0.428420831	0.000433304	0.000593753	1.44E-06	2.19E-05	8.77E-05	0.009272845	0.002141542	0.01828582	0.064826224	9.86E-07	1.32E-06	1.34E-05	3.63E-05	4.08E-05	1.97E-06	3.41E-06	9.68E-06	0.000337902	0.098191491	0.001141726	1.49E-05	2.11E-05	2.16E-07	1.34E-05	0.000757183	2.14E-06	2.17E-05	1.11E-06	0.000388813	3.39E-06	5.40E-08	4.03E-10	1.07E-05	3.14E-08	0.000423792	3.25E-05	0.000264334	3.07E-05	0.000826247	0.00170791	0.046217077	0.015567253	0.000138126	0.000140717	0.270498124	2.26E-05	8.08E-05	0.000322365	1.03E-06	0.003242118	0.003722318	1.13E-06	1.36E-05	4.56E-06	1.81E-05	6.79E-07	1.84E-05	4.05E-05	1.02E-05	1.15E-05	7.27E-07	7.04E-06	2.01E-05	0.000137216	7.05E-06	4.22E-06	1.00E-05	0.0066337	6.14E-05	8.00E-06	0.000590794	6.37E-07	1.65E-05	2.36E-07	NGC
0.004372212	0.000224535	0.001628568	0.020585679	0.000209293	5.54E-05	5.83E-06	1.76E-05	0.339545516	0.000402025	0.000456607	9.29E-05	1.53E-05	2.18E-06	0.010567258	0.001084861	0.024060756	0.043700012	7.15E-06	8.45E-07	6.46E-08	7.28E-05	8.08E-05	1.96E-05	2.64E-06	1.57E-05	0.000409052	0.24012295	0.000942681	0.000195889	4.12E-06	4.21E-06	1.11E-05	0.000192533	5.09E-06	1.69E-05	2.07E-06	0.000935254	1.87E-06	6.17E-08	2.53E-07	9.75E-06	2.05E-08	0.000200285	1.04E-05	0.000159532	3.32E-05	0.000478699	0.001719027	0.04228155	0.013852053	0.00026975	0.000160632	0.235914585	2.79E-05	5.89E-05	0.000311814	4.59E-06	0.004753004	0.004329796	8.50E-07	9.38E-06	2.86E-11	9.35E-06	4.43E-07	4.76E-05	0.000128564	8.02E-06	1.23E-05	1.17E-06	5.71E-05	1.04E-05	0.000118112	6.38E-11	1.66E-08	1.54E-05	0.00404756	0.000203345	1.90E-06	0.00064495	5.32E-07	3.68E-05	4.21E-07	NGC
0.005759501	0.00021015	0.002373837	0.015942826	0.000127428	2.20E-05	1.46E-05	6.43E-05	0.376002095	0.000328956	0.000701589	0.000107185	3.81E-05	0.000125486	0.008905578	0.001394649	0.027406349	0.044082217	1.45E-05	1.58E-06	9.65E-06	4.98E-05	5.98E-07	7.46E-05	2.76E-06	1.77E-05	0.001453567	0.134066846	0.000987372	0.000425447	9.99E-06	1.47E-06	1.11E-05	0.000197403	3.59E-06	1.61E-05	4.71E-06	0.000931591	1.23E-06	9.37E-06	1.15E-06	6.29E-06	2.37E-08	1.25E-05	0.000308084	0.000140013	4.86E-05	0.000376883	0.000728285	0.070169742	0.022450701	0.000186727	0.000198383	0.25335967	4.45E-05	0.000151016	0.000551453	9.45E-06	0.014466524	0.003790867	5.50E-07	1.02E-05	1.98E-07	1.46E-05	4.47E-07	2.83E-05	8.66E-05	1.17E-05	1.34E-05	1.60E-06	5.98E-05	1.47E-05	0.000123465	2.75E-07	1.63E-07	1.28E-06	0.009959733	0.000108927	8.29E-06	0.000593926	6.64E-06	5.60E-05	5.41E-07	NGC
